x,y
43,-159
43,-154
43,-153
43,-151
43,-155
43,-152
44,-155
44,-166
44,-163
44,-162
44,-161
44,-160
44,-159
44,-164
44,-158
44,-157
44,-156
44,-154
44,-165
45,-171
45,-167
45,-166
45,-165
45,-172
45,-163
45,-164
45,-159
45,-160
45,-161
45,-173
45,-162
46,-166
46,-172
46,-163
46,-174
46,-171
46,-165
46,-170
46,-169
46,-164
46,-167
46,-173
46,-168
47,-174
47,-176
47,-177
47,-175
47,-173
47,-172
47,-171
47,-170
47,-169
47,-167
47,-166
48,-180
48,-172
48,-179
48,-178
48,-177
48,-175
48,-174
48,-173
48,-176
49,-183
49,-178
49,-179
49,-180
49,-182
49,-184
50,-186
50,-185
50,-184
50,-179
50,-182
50,-180
50,-183
51,-190
51,-188
51,-189
51,-191
51,-187
51,-185
51,-186
51,-184
52,-187
52,-188
52,-185
52,-189
52,-190
52,-193
52,-191
52,-186
52,-192
53,-194
53,-193
53,-192
53,-191
53,-195
53,-190
53,-189
53,-196
54,-198
54,-197
54,-196
54,-199
54,-195
54,-194
54,-193
54,-192
54,-191
55,-196
55,-197
55,-195
55,-198
55,-199
55,-200
55,-203
55,-201
55,-202
56,-204
56,-203
56,-202
56,-205
56,-201
56,-200
56,-199
56,-198
56,-197
57,-207
57,-206
57,-205
57,-201
57,-204
57,-203
57,-202
57,-208
57,-210
58,-212
58,-211
58,-210
58,-209
58,-208
58,-207
58,-206
58,-205
58,-204
59,-212
59,-209
59,-210
59,-211
59,-208
59,-215
59,-213
60,-215
60,-216
60,-213
60,-212
60,-211
60,-214
61,-218
61,-217
61,-214
61,-216
61,-215
62,-216
62,-219
62,-218
62,-220
62,-217
62,-215
63,-218
63,-219
63,-220
63,-221
63,-222
63,-223
63,-217
63,-224
64,-224
64,-226
64,-225
64,-221
64,-223
64,-222
64,-220
64,-227
65,-229
65,-228
65,-230
65,-226
65,-225
65,-224
65,-223
65,-227
66,-227
66,-228
66,-229
66,-230
66,-231
67,-234
67,-233
67,-232
67,-229
67,-231
67,-230
68,-232
68,-230
68,-233
68,-234
68,-235
68,-236
68,-231
69,-233
69,-234
69,-235
69,-238
69,-236
69,-237
70,-238
70,-235
70,-236
70,-239
70,-234
70,-237
70,-240
71,-242
71,-241
71,-243
71,-239
71,-237
71,-238
71,-240
72,-238
72,-242
72,-243
72,-239
72,-244
72,-241
73,-242
73,-243
73,-244
73,-245
73,-246
74,-247
74,-246
74,-244
74,-245
74,-243
74,-249
74,-248
75,-248
75,-249
75,-247
75,-246
75,-245
76,-248
76,-249
76,-250
76,-251
76,-247
76,-246
77,-254
77,-250
77,-251
77,-252
77,-253
78,-251
78,-252
78,-253
78,-254
78,-255
79,-255
79,-254
79,-256
80,-257
80,-259
80,-256
80,-255
81,-257
81,-258
81,-259
81,-256
81,-260
82,-257
82,-258
82,-259
82,-260
82,-261
83,-262
83,-259
83,-260
83,-261
84,-264
84,-263
84,-262
84,-261
85,-263
85,-267
85,-264
85,-265
85,-262
85,-266
86,-267
86,-266
86,-265
86,-264
86,-268
86,-263
87,-266
87,-267
87,-269
87,-265
87,-268
88,-270
88,-269
88,-267
88,-266
88,-268
89,-268
89,-273
89,-271
89,-270
89,-272
89,-267
89,-269
90,-269
90,-270
90,-273
90,-271
90,-268
90,-267
90,-272
91,-273
91,-269
91,-272
91,-274
91,-271
91,-270
92,-272
92,-271
92,-270
92,-273
92,-274
92,-275
93,-274
93,-275
93,-273
93,-271
93,-272
94,-277
94,-275
94,-276
94,-273
94,-274
94,-272
95,-274
95,-275
95,-273
95,-276
95,-277
95,-278
96,-275
96,-274
96,-276
96,-278
96,-277
97,-279
97,-278
97,-277
97,-275
97,-276
98,-277
98,-279
98,-280
98,-278
98,-276
99,-279
99,-280
99,-283
99,-281
99,-278
99,-282
100,-279
100,-282
100,-280
100,-283
100,-281
101,-283
101,-282
101,-281
101,-280
101,-279
102,-281
102,-282
102,-280
102,-283
103,-282
103,-283
103,-285
103,-281
103,-284
104,-286
104,-285
104,-284
104,-283
104,-282
105,-284
105,-286
105,-283
105,-285
105,-287
106,-283
106,-284
106,-288
106,-285
106,-287
106,-286
107,-287
107,-288
107,-284
107,-286
107,-285
107,-283
108,-286
108,-285
108,-287
108,-288
108,-284
109,-286
109,-285
109,-287
109,-289
109,-288
110,-290
110,-288
110,-289
110,-287
111,-290
111,-287
111,-288
111,-286
111,-289
112,-291
112,-290
112,-286
112,-287
112,-288
112,-289
113,-289
113,-291
113,-287
113,-290
113,-288
114,-289
114,-291
114,-288
114,-290
115,-291
115,-292
115,-290
115,-289
116,-292
116,-289
116,-291
116,-293
116,-290
117,-292
117,-290
117,-291
118,-293
118,-290
118,-291
118,-292
119,-292
119,-291
119,-293
119,-290
120,-292
120,-291
121,-292
121,-293
121,-291
121,-294
122,-292
122,-291
122,-295
122,-293
122,-294
123,-292
123,-295
123,-291
123,-294
123,-293
124,-294
124,-295
124,-292
124,-293
124,-291
125,-293
125,-294
125,-292
125,-295
126,-294
126,-295
126,-293
127,-295
127,-293
127,-294
128,-295
128,-294
128,-293
129,-295
129,-293
129,-294
130,-293
130,-292
130,-294
130,-295
131,-295
131,-294
131,-293
132,-294
132,-295
132,-293
133,-294
133,-295
133,-293
134,-294
134,-295
134,-293
135,-294
135,-295
135,-292
135,-293
136,-292
136,-295
136,-293
136,-294
137,-292
137,-294
137,-293
137,-295
138,-293
138,-292
138,-294
138,-295
139,-294
139,-293
139,-292
140,-294
140,-293
140,-292
141,-294
141,-293
141,-292
142,-293
142,-294
142,-292
143,-292
143,-293
144,-292
144,-293
144,-291
145,-292
145,-293
145,-291
146,-291
146,-292
146,-293
147,-292
147,-290
147,-291
148,-291
148,-292
148,-290
149,-291
149,-289
149,-290
150,-291
150,-290
150,-289
151,-291
151,-290
151,-289
152,-290
152,-289
152,-288
153,-289
153,-288
154,-289
154,-287
154,-288
155,-288
155,-287
156,-288
156,-287
156,-286
157,-286
157,-287
158,-286
158,-287
158,-285
159,-286
159,-285
159,-284
160,-283
160,-284
160,-285
161,-284
161,-283
162,-282
162,-283
163,-283
163,-282
163,-281
164,-281
164,-282
164,-280
165,-281
165,-279
165,-280
166,-280
166,-278
166,-279
167,-280
167,-277
167,-278
167,-279
168,-277
168,-278
168,-276
168,-279
169,-275
169,-277
169,-276
169,-278
170,-276
170,-275
170,-277
170,-274
171,-275
171,-274
171,-273
171,-276
172,-273
172,-272
172,-274
172,-275
173,-273
173,-274
173,-272
173,-271
174,-270
174,-269
174,-272
174,-271
175,-268
175,-270
175,-269
175,-271
175,-272
176,-268
176,-270
176,-267
176,-269
176,-266
177,-269
177,-266
177,-267
177,-268
177,-265
177,-264
178,-266
178,-267
178,-265
178,-264
178,-268
179,-266
179,-262
179,-267
179,-265
179,-263
179,-264
180,-260
180,-265
180,-266
180,-262
180,-261
180,-263
180,-264
181,-260
181,-259
181,-261
181,-264
181,-263
181,-262
182,-263
182,-259
182,-261
182,-258
182,-260
182,-257
182,-262
183,-258
183,-261
183,-257
183,-260
183,-256
183,-259
184,-258
184,-260
184,-256
184,-259
184,-254
184,-253
184,-255
184,-257
185,-253
185,-256
185,-257
185,-252
185,-255
185,-254
186,-254
186,-252
186,-251
186,-253
186,-256
186,-255
187,-249
187,-251
187,-255
187,-248
187,-250
187,-253
187,-254
187,-252
188,-251
188,-250
188,-252
188,-248
188,-253
188,-254
188,-247
188,-246
188,-249
189,-249
189,-248
189,-250
189,-247
189,-246
189,-251
190,-244
190,-249
190,-245
190,-248
190,-243
190,-247
190,-250
190,-246
191,-241
191,-244
191,-248
191,-247
191,-245
191,-246
191,-243
191,-242
192,-241
192,-244
192,-242
192,-243
192,-246
192,-240
192,-245
193,-241
193,-240
193,-242
193,-238
193,-243
193,-244
193,-245
193,-237
193,-239
194,-243
194,-242
194,-234
194,-235
194,-241
194,-236
194,-238
194,-240
194,-237
194,-239
195,-240
195,-239
195,-237
195,-238
195,-233
195,-231
195,-232
195,-234
195,-236
195,-235
196,-233
196,-232
196,-234
196,-231
196,-238
196,-237
196,-236
196,-230
196,-235
197,-228
197,-231
197,-235
197,-229
197,-237
197,-236
197,-233
197,-230
197,-232
197,-234
198,-232
198,-230
198,-225
198,-231
198,-233
198,-227
198,-228
198,-229
198,-226
199,-232
199,-222
199,-223
199,-230
199,-231
199,-227
199,-225
199,-229
199,-226
199,-224
199,-228
200,-225
200,-231
200,-226
200,-230
200,-224
200,-227
200,-223
200,-229
200,-228
200,-222
200,-221
201,-221
201,-223
201,-218
201,-225
201,-219
201,-216
201,-220
201,-226
201,-227
201,-217
201,-224
201,-222
202,-216
202,-217
202,-225
202,-221
202,-223
202,-218
202,-220
202,-222
202,-224
202,-219
203,-213
203,-224
203,-214
203,-219
203,-215
203,-220
203,-217
203,-216
203,-221
203,-222
203,-218
203,-212
204,-210
204,-211
204,-220
204,-217
204,-219
204,-213
204,-214
204,-215
204,-218
204,-212
204,-216
205,-217
205,-206
205,-207
205,-216
205,-212
205,-210
205,-215
205,-213
205,-211
205,-209
205,-218
205,-214
206,-206
206,-209
206,-213
206,-205
206,-207
206,-204
206,-203
206,-210
206,-208
206,-214
206,-211
206,-202
